id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,label
129204,200765,212866,17/03/2016 00:00,75,83,1,1,2,45,51,67,75,41,71,52,57,69,78,71,75,78,72,75,55,82,69,74,48,83,77,46,65,48,74,77,81,14,7,13,7,12,DF
129387,178679,41198,18/02/2016 00:00,78,78,1,1,2,52,53,80,62,57,48,59,61,58,59,52,52,27,70,40,71,67,72,94,57,88,78,46,54,54,81,82,75,15,7,14,16,12,DF
158882,187033,117545,24/01/2014 00:00,69,75,1,1,2,29,21,70,57,25,42,25,26,46,53,63,67,52,57,51,51,75,72,81,25,79,70,24,30,46,66,70,69,15,5,15,10,15,DF
158909,152697,34206,18/09/2014 00:00,59,59,1,1,2,28,28,64,45,34,38,21,20,46,40,63,53,34,55,56,46,64,75,83,21,71,62,22,40,43,55,62,44,5,9,6,8,13,DF
84,140161,30572,22/02/2009 00:00,75,82,1,1,2,60,44,74,72,48,60,38,43,65,71,76,79,63,65,45,68,69,77,70,34,72,66,81,54,60,80,78,70,14,11,65,11,10,DF
1071,159580,37422,30/08/2009 00:00,67,72,1,2,1,76,55,56,56,58,71,58,68,74,66,78,77,72,62,66,63,69,78,69,66,63,72,66,60,71,64,68,73,6,20,74,20,20,DF
36,189615,155782,22/02/2009 00:00,47,60,0,1,1,22,48,52,39,30,26,41,26,49,34,66,59,59,65,62,48,48,56,63,35,64,32,28,38,29,53,45,63,6,22,49,22,22,DF
4651,110652,37920,22/02/2009 00:00,81,86,0,1,1,83,81,78,83,77,86,82,60,75,87,77,82,79,76,73,78,63,80,77,69,54,76,75,81,80,38,21,37,9,21,75,21,21,DF
109,17725,23780,22/02/2009 00:00,75,81,1,1,1,45,57,76,63,32,53,52,24,57,66,70,73,57,70,76,47,78,78,76,25,77,77,78,60,81,75,80,77,12,20,57,20,20,DF
7,189615,155782,07/04/2016 00:00,74,76,0,2,1,80,53,58,71,32,73,70,69,68,71,79,78,78,67,90,71,85,79,56,60,68,67,60,66,59,76,75,78,14,7,9,9,12,DF
180,188621,101042,03/12/2015 00:00,69,69,0,1,1,63,42,59,70,60,70,72,67,53,74,75,77,69,70,72,67,70,78,66,61,73,67,65,71,56,67,68,65,7,15,7,10,15,DF
47620,188277,128360,10/12/2015 00:00,73,73,0,1,1,77,49,59,65,53,64,60,74,61,69,74,78,74,71,76,79,72,84,68,56,69,72,65,50,60,65,72,78,8,16,10,13,12,DF
1220,163901,41489,03/07/2015 00:00,61,61,0,1,1,25,25,25,25,25,25,25,25,31,22,42,42,49,60,30,40,66,35,61,25,32,25,25,25,22,25,25,25,60,61,53,62,64,GK
4761,210358,299879,13/02/2015 00:00,66,76,0,1,1,25,25,25,25,25,25,25,25,21,22,31,33,22,63,32,24,58,34,42,25,25,25,25,25,21,25,25,25,69,59,54,64,76,GK
711,197233,189181,22/02/2011 00:00,66,75,1,1,1,11,10,12,39,13,14,14,13,24,28,42,32,57,70,58,45,66,46,55,11,17,23,10,33,25,18,19,20,65,62,61,64,74,GK
1431,184585,157303,22/02/2007 00:00,50,70,1,1,1,21,21,21,21,5,21,17,24,41,21,50,40,35,35,36,45,63,21,21,21,21,30,35,24,27,21,21,15,55,46,41,50,54,GK
1492,53363,180197,30/08/2011 00:00,61,66,1,1,1,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,42,21,25,9,25,67,63,61,59,60,GK
1615,164853,38617,22/02/2007 00:00,62,65,1,1,1,18,27,57,27,15,18,17,58,67,54,48,43,54,69,61,16,73,81,78,27,59,44,67,39,58,19,34,17,65,48,67,59,68,GK
4283,110606,14100,31/08/2012 00:00,64,67,1,1,1,12,10,10,10,13,12,13,15,29,25,32,50,41,35,54,35,56,30,59,11,46,16,18,34,16,12,19,12,65,67,57,65,66,GK
4538,14907,37503,20/09/2013 00:00,74,74,1,1,1,25,25,25,27,25,25,25,25,26,25,55,45,53,68,51,39,68,31,55,25,40,25,25,25,30,25,25,25,74,72,70,78,74,GK
4807,110638,38395,03/05/2013 00:00,62,64,1,1,1,25,25,25,25,25,25,25,25,21,27,47,46,31,53,42,25,60,39,68,25,27,21,25,25,25,25,25,25,55,69,60,72,55,GK
4995,123617,39743,22/02/2009 00:00,62,70,1,1,1,17,9,35,35,5,1,12,7,17,15,55,55,54,65,70,35,65,50,73,12,20,20,10,45,26,16,15,18,63,64,42,63,63,GK
5072,178452,39302,22/02/2011 00:00,63,70,1,1,1,11,12,11,19,12,11,10,21,12,10,50,50,49,63,60,46,72,51,68,13,41,20,10,44,21,10,14,19,62,63,60,64,64,GK
47445,156272,26294,20/03/2015 00:00,74,74,1,2,1,75,55,63,77,71,82,77,77,71,82,69,69,76,68,75,78,66,60,69,77,72,49,70,72,74,33,54,47,4,8,10,13,13,GK
1708,181205,89240,06/03/2015 00:00,71,73,0,2,2,76,64,64,72,59,71,75,75,66,72,69,77,68,72,60,72,66,77,68,63,67,68,72,63,60,56,67,66,8,12,12,7,9,MD
1809,180819,37234,27/12/2013 00:00,79,82,1,2,2,75,70,67,80,72,84,77,70,72,82,78,76,84,73,81,68,73,80,67,71,46,72,74,82,61,30,52,38,6,15,14,8,11,MD
1901,224031,478447,05/05/2016 00:00,69,73,1,2,2,65,65,57,64,64,73,58,48,63,72,74,82,63,64,67,71,70,75,74,71,67,57,69,66,58,46,52,49,8,9,7,10,10,MD
2100,192323,158861,06/11/2015 00:00,67,69,1,2,2,63,55,59,71,57,65,66,67,66,68,66,69,68,69,69,66,72,83,69,60,66,65,64,65,60,56,64,53,14,11,6,10,15,MD
2025,231242,684978,28/04/2016 00:00,69,84,0,2,1,65,68,51,64,61,77,68,62,63,69,80,78,81,64,81,69,53,66,39,66,55,44,60,60,60,44,54,47,8,6,8,7,12,MD
1646,209439,277313,14/04/2016 00:00,69,73,1,2,1,71,68,58,66,65,70,59,65,59,64,81,78,68,58,80,68,66,67,46,59,54,34,68,77,67,14,17,22,8,8,12,8,10,MD
1671,169568,40568,18/04/2014 00:00,59,64,1,2,1,72,63,33,67,64,76,63,71,60,73,77,81,67,60,69,71,47,65,57,73,49,43,59,56,53,40,46,43,6,7,8,6,8,MD
1793,180819,37234,12/05/2016 00:00,80,80,1,2,1,74,73,67,83,72,85,77,66,74,82,76,70,83,75,76,68,73,83,67,72,46,61,76,83,70,30,52,38,6,15,14,8,11,MD
1874,200223,209372,14/03/2014 00:00,76,83,1,2,1,70,65,45,75,76,80,75,74,72,84,73,74,81,74,83,73,63,76,45,69,58,57,70,77,58,54,55,51,14,6,6,10,7,MD
276,186561,75489,19/12/2014 00:00,82,86,1,2,2,74,77,58,84,81,81,64,70,82,82,73,69,74,81,75,81,63,93,68,78,75,72,84,81,76,65,75,65,6,11,5,10,8,MD
204,47189,23889,30/08/2008 00:00,72,78,1,1,2,26,58,82,84,32,69,44,67,73,70,67,69,55,72,71,47,75,73,51,25,70,68,62,66,69,76,79,77,6,25,73,25,25,MD
556,193953,173955,25/02/2016 00:00,72,74,0,2,1,69,72,64,69,63,76,69,49,64,73,85,84,78,65,74,76,71,72,70,70,68,26,71,74,52,20,29,27,11,16,13,12,16,MD
773,189568,148827,31/03/2016 00:00,69,71,0,2,1,70,53,61,71,58,54,54,47,67,73,67,69,71,73,62,72,68,72,74,52,74,67,66,64,52,58,70,65,14,10,10,7,8,MD
158,152747,30895,20/09/2013 00:00,79,79,1,2,1,80,68,27,79,69,83,62,54,53,82,94,91,94,77,92,61,71,75,52,56,56,36,76,81,61,25,23,25,13,6,6,15,10,MD
360,187939,120919,25/02/2016 00:00,75,75,1,2,1,70,75,63,75,77,78,69,63,68,78,80,80,81,74,77,78,58,74,62,74,39,40,78,70,80,26,27,24,7,10,8,15,10,MD
715,208135,352887,03/03/2016 00:00,73,79,1,2,1,68,70,66,75,67,75,41,42,74,75,65,67,60,68,64,75,71,83,75,74,75,71,58,77,45,69,71,65,15,12,12,15,14,MD
128613,157528,26928,31/08/2012 00:00,70,75,1,2,2,70,67,59,71,57,71,48,49,66,67,75,76,71,67,65,72,75,90,68,59,71,60,67,64,58,46,53,52,8,15,13,14,7,MD
128747,222475,439148,04/02/2016 00:00,67,77,1,2,2,62,55,61,68,51,70,51,48,63,75,70,68,69,70,68,63,78,82,73,50,78,59,65,62,46,60,66,58,13,14,10,7,13,MD
130387,173436,23305,21/09/2015 00:00,76,76,1,2,2,64,77,32,74,52,82,58,42,65,78,92,90,86,67,95,75,70,84,56,74,69,35,74,66,70,33,45,48,12,11,14,8,16,MD
158639,164760,35972,22/02/2012 00:00,64,67,1,2,2,57,54,62,68,43,63,52,26,63,64,78,79,80,69,64,61,66,80,74,58,68,58,43,67,16,61,63,56,11,11,11,15,14,MD
129414,192673,37986,06/11/2015 00:00,71,71,1,0,2,59,38,78,75,44,57,50,46,66,69,47,66,55,70,53,59,78,75,85,60,80,73,50,54,48,67,69,71,8,12,7,13,16,MD
129830,202142,242477,30/01/2015 00:00,71,76,0,1,2,60,58,41,80,55,60,75,67,81,68,70,63,72,65,80,71,62,78,68,70,52,70,58,76,56,67,60,63,7,8,7,6,7,MD
128454,177358,46893,03/12/2015 00:00,82,84,1,1,2,67,64,65,83,56,73,68,61,83,79,69,59,66,82,66,71,72,90,78,56,85,86,67,75,56,77,84,82,6,11,12,14,7,MD
128940,174805,45340,08/11/2013 00:00,68,68,1,1,2,40,40,74,64,45,53,50,56,63,62,50,53,59,68,52,60,72,81,82,37,87,67,41,58,67,69,64,65,6,12,12,10,15,MD
129097,188623,108535,03/07/2015 00:00,69,69,1,1,2,58,54,67,71,49,57,42,54,70,68,64,72,73,75,71,72,80,93,77,56,77,58,23,55,64,67,70,70,10,13,12,5,9,MD
129132,183394,94550,31/08/2012 00:00,75,83,1,1,2,69,72,69,72,65,75,70,73,67,74,85,85,77,78,58,85,74,92,86,69,77,74,75,68,67,70,76,72,13,7,10,9,7,MD
129306,192439,47575,10/03/2016 00:00,67,67,1,1,2,54,58,68,68,29,66,43,64,63,67,76,68,82,72,55,68,81,91,64,60,65,51,67,65,54,63,64,61,7,10,12,7,16,MD
129516,215914,319300,21/04/2016 00:00,79,83,1,1,2,67,65,54,80,56,75,49,49,78,78,81,80,74,83,90,72,79,90,76,66,90,90,68,76,54,73,86,81,15,12,10,7,10,MD
130094,198861,210128,23/06/2016 00:00,77,83,1,1,2,67,49,65,80,43,70,69,48,72,78,76,74,80,73,83,62,82,85,75,64,79,77,55,70,55,78,77,75,14,12,9,12,15,MD
158603,8517,24223,21/04/2016 00:00,75,75,1,1,2,67,57,77,77,69,69,74,66,68,72,67,49,71,83,80,75,71,72,70,69,81,77,64,66,71,76,78,75,6,7,11,9,9,MD
3634,177529,41399,30/08/2008 00:00,68,73,1,1,2,48,41,36,74,53,52,42,78,52,51,75,69,70,67,80,88,76,87,89,85,79,76,69,68,72,69,80,72,9,20,52,20,20,MD
308,186561,75489,30/08/2008 00:00,71,85,1,1,0,53,61,59,78,73,70,64,58,67,78,79,78,73,73,67,69,61,76,59,70,64,56,61,80,76,46,53,61,8,21,67,21,21,MD
980,111085,29904,30/08/2009 00:00,71,72,1,1,0,71,64,50,78,55,69,75,79,78,71,70,69,61,70,63,78,62,73,68,70,62,72,67,76,63,60,61,49,11,21,78,21,21,MD
265,183853,40719,30/08/2009 00:00,62,83,0,2,1,60,68,53,52,60,68,65,30,55,67,66,76,70,52,62,65,65,53,45,53,41,39,41,61,44,21,24,36,11,21,55,21,21,MD
167,152747,30895,22/02/2010 00:00,84,87,1,2,1,82,70,38,77,69,90,62,53,59,88,93,94,88,84,76,69,52,87,57,62,49,81,77,79,84,23,25,14,12,25,59,25,25,MD
135,158138,27316,22/02/2010 00:00,78,83,0,1,1,75,77,66,78,80,82,79,57,63,81,82,81,79,77,67,77,70,74,68,73,51,70,75,83,73,30,27,29,9,20,63,20,20,MD
62,186170,162549,30/08/2009 00:00,65,70,1,1,1,69,69,45,63,63,67,43,41,54,68,71,77,66,51,56,74,56,69,68,67,59,44,50,67,66,22,21,21,8,21,54,21,21,MD
4729,103935,27694,22/02/2010 00:00,81,88,1,1,1,79,72,69,82,76,85,76,70,81,84,80,77,78,77,68,84,72,76,72,91,69,84,82,83,80,65,72,63,9,20,81,20,20,MD
47501,152922,30920,12/05/2016 00:00,73,73,1,1,2,67,53,61,75,69,68,73,79,75,75,68,68,66,75,62,83,52,72,76,73,75,75,69,73,61,65,73,71,11,6,15,14,15,MD
47525,189346,27052,08/11/2013 00:00,63,67,1,1,2,61,64,55,64,61,60,49,63,63,64,82,82,54,52,59,64,72,55,59,59,57,51,61,61,44,25,25,25,7,13,11,10,11,MD
93578,162329,26539,30/08/2008 00:00,71,75,1,1,0,66,55,56,73,61,71,67,62,65,78,69,67,77,74,61,62,59,73,67,62,71,74,80,68,69,63,67,64,14,21,65,21,21,MD
113,158138,27316,28/04/2016 00:00,77,77,0,1,1,77,72,64,79,77,78,77,76,70,79,75,69,76,80,72,76,65,75,65,76,59,55,77,76,81,28,34,35,15,12,7,16,15,MD
244,183853,40719,14/04/2016 00:00,70,72,0,1,1,64,67,54,64,61,75,66,68,56,76,82,78,82,66,84,74,70,67,51,72,45,45,70,62,67,36,31,37,14,13,9,15,10,MD
457,209399,467485,04/02/2016 00:00,63,72,0,1,1,42,52,39,64,40,72,67,45,56,67,75,78,82,62,72,48,65,62,53,52,40,23,46,64,46,32,33,40,8,13,8,15,8,MD
535,188232,67334,16/10/2015 00:00,72,76,0,1,1,67,70,50,71,46,74,55,53,59,73,84,88,74,62,62,71,71,77,67,53,64,44,68,64,53,42,47,43,12,15,14,11,6,MD
47551,192732,179491,05/05/2016 00:00,74,76,0,1,1,75,61,57,74,63,75,69,67,68,76,77,78,75,75,74,74,72,79,68,74,63,68,72,71,57,59,66,68,6,15,8,10,6,MD
47605,177113,56895,13/12/2013 00:00,64,66,0,1,1,61,58,55,61,49,66,53,58,57,69,67,64,66,66,80,65,84,68,68,61,72,61,57,63,55,63,67,62,6,5,12,10,11,MD
48,186170,162549,20/09/2013 00:00,71,78,1,1,1,73,52,62,71,51,74,72,64,64,73,82,80,81,50,92,60,71,72,71,56,59,54,67,72,63,22,21,21,15,10,11,8,12,MD
208,194958,231592,21/01/2016 00:00,74,77,1,1,1,74,69,46,78,65,73,73,78,77,73,69,71,71,66,67,70,72,83,64,72,75,63,66,81,73,56,65,62,11,8,12,11,12,MD
380,192274,167027,07/04/2016 00:00,74,76,1,1,1,74,64,61,76,63,76,76,78,75,78,73,76,80,75,72,71,68,63,68,70,70,36,71,74,71,35,42,33,11,7,6,16,7,MD
466,149241,41659,25/09/2015 00:00,63,63,1,1,1,57,53,58,69,57,59,69,68,66,64,65,67,71,67,70,67,57,62,57,61,58,47,63,67,57,47,39,37,8,15,16,9,11,MD
47579,205753,278917,10/03/2016 00:00,73,78,1,1,1,66,67,66,73,56,79,57,53,57,75,90,91,80,75,93,66,73,56,35,62,17,16,66,68,52,20,19,22,7,10,13,8,13,MD
